epoch,training_nll,validation_lpd_standardized,validation_lpd_original,validation_rmse_standardized,validation_rmse_original
5,1.501727282042672,-1.3193720523541046,-3.623718541348935,0.7580102484863132,7.593465797972475
10,1.2347961154398044,-1.2764728794197817,-3.5808193684146117,0.7803547258781842,7.817304557483814
15,1.191542398891265,-1.1926341878237352,-3.4969806768185654,0.5495583503852655,5.505271945478222
20,1.2158653502295638,-1.2493997512179738,-3.5537462402128037,0.6706929175280281,6.718753121306759
25,1.436929050749138,-1.2921051717757916,-3.596451660770622,0.8338091825300273,8.352791494766068
30,1.4634414769445585,-1.3844958639146077,-3.688842352909438,0.9506440782660068,9.523200199919131
35,1.161545775327652,-1.2314500968598119,-3.535796585854642,0.6434349228215649,6.445692642947261
40,1.2253492480305614,-1.1997355609404818,-3.5040820499353122,0.6206026825173476,6.216967760521189
45,1.179867983822654,-1.1633690402375803,-3.4677155292324104,0.550178583008234,5.511485190155993
50,1.093267333469207,-1.1408011083744476,-3.445147597369278,0.5098454508603028,5.107442830767211
55,1.1032202450792123,-1.1184592566195712,-3.4228057456144017,0.49173848341594123,4.926053961572728
60,1.065133562425325,-1.1919857166709835,-3.496332205665814,0.6143879935302177,6.154711260943699
65,1.0652541500962431,-1.203813303026974,-3.508159792021804,0.6412070440834301,6.423374562088777
70,1.112783787334847,-1.1110769131891736,-3.415423402184004,0.47250723671213135,4.733402432579291
75,1.107815942196984,-1.1052767140570943,-3.4096232030519245,0.4668411757809058,4.676641931568269
80,1.0348703163613078,-1.106282676493776,-3.410629165488606,0.4735967087722872,4.744316358232264
85,1.07113862727616,-1.1144729970388974,-3.4188194860337275,0.4930365670816428,4.939057652422832
90,1.079731843862503,-1.0975343796194492,-3.4018808686142794,0.4698946421045063,4.7072304306783
95,1.0701204913988758,-1.0951439691589768,-3.399490458153807,0.46386633780226355,4.646841109874843
100,1.058328240630711,-1.099911073904048,-3.404257562898878,0.47546909040678803,4.763073182194676
105,1.0471315740389073,-1.0814819196827656,-3.385828408677596,0.44222737453000127,4.430070000522743
110,1.0477674383059192,-1.0825251299614815,-3.3868716189563117,0.4456762256469494,4.464619306318851
115,1.0630101781949353,-1.1299130141481437,-3.434259503142974,0.5472874020368423,5.482522401219907
120,1.0401861897618825,-1.0784135898018592,-3.3827600787966894,0.4475755006489977,4.483645556437344
125,1.0268666817061005,-1.0785856863536154,-3.3829321753484454,0.44926065187887265,4.500526767696748
130,1.0279312547763444,-1.0754327903001584,-3.3797792792949886,0.44300211685659047,4.437831078157225
