epoch,training_nll,validation_lpd_standardized,validation_lpd_original,validation_rmse_standardized,validation_rmse_original
5,2.9722090419247853,-1.8214374476813149,-4.646404953217218,1.300321911155106,21.923943746113398
10,2.5036623455065903,-1.701149894454377,-4.52611739999028,1.115973568235751,18.81575748630632
15,2.3370848642550497,-1.6159816098192423,-4.440949115355146,0.9826379037824096,16.567665213388523
20,2.06824886827446,-1.5632113559007945,-4.388178861436698,0.9058044650010059,15.272222924799392
25,2.048182784796333,-1.5228887038783017,-4.347856209414204,0.8715993589474514,14.695511249454295
30,1.7030538526370371,-1.5084631156344033,-4.333430621170306,0.8565074284399427,14.441055321129612
35,1.7596645023611237,-1.4877282409274803,-4.312695746463383,0.8443120755897051,14.235436834654525
40,1.9676229113297496,-1.4643613615452709,-4.289328867081174,0.822867398059703,13.87387105504254
45,1.7858637962981665,-1.437956373566786,-4.262923879102689,0.8050934247240819,13.574194799357041
50,1.625210637383038,-1.426720932246644,-4.251688437782547,0.7961922196528926,13.424116948148013
55,1.6686258664805826,-1.4132808050454537,-4.238248310581357,0.7891632550253386,13.305605812761218
60,1.8954472141586047,-1.4047237266573542,-4.229691232193257,0.7853476527944316,13.241273248166337
65,1.6416387598005702,-1.392464566799278,-4.217432072335181,0.7767785670684804,13.09679505606824
70,1.7525389483220857,-1.3892452119012213,-4.214212717437125,0.7759988397839721,13.083648549946773
75,1.7142842576372253,-1.3798109091263637,-4.204778414662266,0.7688371054733927,12.962898865339294
80,1.6130196264893604,-1.3707422981583142,-4.195709803694217,0.7622870216341248,12.852461849195407
85,1.6043567160050647,-1.3636759306160344,-4.188643436151938,0.757015169598762,12.76357632966967
90,1.4873723920872457,-1.3552490436685976,-4.1802165492045,0.7521680691477849,12.681852289656609
95,1.493662021428847,-1.3546647600471582,-4.179632265583061,0.7574178953960167,12.770366448300567
100,1.5221835383408362,-1.3503274240229606,-4.175294929558864,0.7550192954212913,12.729925102812098
105,1.557663355514014,-1.3442910667367358,-4.169258572272639,0.7500213916429129,12.6456584598535
110,1.6375537118751653,-1.336007812514559,-4.160975318050462,0.7420130696815169,12.5106349690914
115,1.6129313541544998,-1.3289164413193981,-4.153883946855301,0.7361099190719147,12.411105503118785
120,1.5488522384378265,-1.3245493646676816,-4.149516870203584,0.7325134821303323,12.350468149610123
125,1.4121969240746624,-1.318507346127508,-4.143474851663411,0.7274273770274827,12.264714395294074
130,1.4521474964041219,-1.3147051240051673,-4.13967262954107,0.7253569398317872,12.22980600221244
135,1.466396738299363,-1.3115641835018148,-4.136531689037717,0.7232379915503505,12.194079692669723
140,1.4556678061862645,-1.3090686654982966,-4.134036171034199,0.7219357338369546,12.172123111351496
145,1.4326168255840275,-1.3066419460589798,-4.1316094515948825,0.7207745689052322,12.152545410290578
150,1.3998862181921943,-1.3068897825066441,-4.131857288042547,0.7230379589987154,12.190707069689948
155,1.542489301386497,-1.3030738710556715,-4.128041376591574,0.7206019403997563,12.149634827812717
160,1.528586562017171,-1.2959653072215813,-4.120932812757484,0.7120672702335421,12.005736895873953
165,1.3739355928320394,-1.2912281678085422,-4.116195673344445,0.7079178123251759,11.935775385310034
170,1.3968362859684786,-1.289226453524479,-4.1141939590603815,0.7061013729263448,11.905149497805649
175,1.4271901783039815,-1.2856630561299787,-4.110630561665881,0.7031941584864969,11.856132705943518
180,1.466387021741707,-1.2839109146405059,-4.108878420176409,0.7014233493139822,11.826276160758937
185,1.4113444595885791,-1.2818071783571223,-4.1067746838930255,0.6993203638313168,11.790818990545656
190,1.346611654729866,-1.2811580998056202,-4.106125605341523,0.6991483686643105,11.787919085109712
195,1.4008567516180537,-1.2783155506307584,-4.103283056166662,0.6961602080508252,11.737537509907071
200,1.4350001937765584,-1.2755121465009114,-4.100479652036814,0.6941627368933969,11.703859351928049
205,1.3739463468249753,-1.2720268799345809,-4.096994385470484,0.6918780648806754,11.665338872259081
210,1.3681583979146943,-1.2722358306271309,-4.097203336163034,0.691383477371739,11.65699993436806
215,1.3796907125902977,-1.2714984937910714,-4.096465999326974,0.6910763496948679,11.651821640803538
220,1.3594537947675307,-1.266830067430637,-4.09179757296654,0.6866343670786722,11.576928046818653
225,1.4061306920840586,-1.2642866805039203,-4.089254186039823,0.6846973599509583,11.5442693364351
230,1.4879618763066025,-1.2620965398814892,-4.087064045417392,0.6831239058052277,11.517740273869709
235,1.3340372770524425,-1.2601439470371754,-4.085111452573078,0.6815045266234413,11.490436897875492
240,1.4061563852593768,-1.2604538522569713,-4.085421357792875,0.681920230432918,11.497445831804791
245,1.2938493676036953,-1.2566882314396726,-4.081655736975575,0.6783719364470434,11.43762018331011
250,1.4239759962621639,-1.2556781065382459,-4.080645612074148,0.6770822099021218,11.415874882279722
255,1.4049055501997327,-1.254390184352974,-4.079357689888877,0.6762542331800877,11.401914866448115
260,1.3940753670905133,-1.2541130941590717,-4.079080599694975,0.677078213345131,11.415807500732884
265,1.3786596311367958,-1.2498494293856672,-4.07481693492157,0.6729768894158933,11.34665754800956
270,1.3578951473144605,-1.2486071924314723,-4.073574697967375,0.6718717277088008,11.328024083634313
275,1.5218652312418255,-1.2487059436546246,-4.073673449190528,0.6726071994536078,11.340424431672993
280,1.3093686692720408,-1.2473381370078838,-4.072305642543787,0.6710780130995355,11.314641742597086
285,1.3743736558109165,-1.2471670334314051,-4.072134538967308,0.6711439470259633,11.315753415885158
290,1.349469413574365,-1.2478934405473388,-4.0728609460832415,0.6729097269302032,11.345525168143464
295,1.3150458009980566,-1.2462218525184994,-4.0711893580544025,0.6712400682451275,11.317374059468747
300,1.2778336507239216,-1.2449183959735644,-4.069885901509467,0.6695691287395789,11.28920135595714
305,1.3017878798272113,-1.2455365896855652,-4.070504095221468,0.6714701736210374,11.32125372923589
310,1.3048444560391725,-1.2429393408323783,-4.067906846368281,0.667968766648451,11.262218615489221
315,1.2933258124106795,-1.2422983734311785,-4.067265878967081,0.6679829715650855,11.262458116842419
