epoch,training_nll,validation_lpd_standardized,validation_lpd_original,validation_rmse_standardized,validation_rmse_original
5,1.3705122546636679,-1.1897215247974904,-3.393769865771378,0.7349896290035166,6.660199540731138
10,1.227638891973239,-1.0835642787585171,-3.2876126197324047,0.5701723413652691,5.16668728471283
15,1.1973843055715772,-1.0914919816431772,-3.2955403226170645,0.5844030892045808,5.295640965488071
20,1.1862170413537247,-1.0828375994915376,-3.2868859404654254,0.5690037505741504,5.156097945344329
25,1.1885933339741528,-1.0914726325250044,-3.295520973498892,0.5844738982387402,5.296282592859221
30,1.154397509500275,-1.07208261140469,-3.2761309523785775,0.5486814887303171,4.971945245406759
35,1.147300464016884,-1.071778912572442,-3.2758272535463293,0.5478391648005251,4.9643124071143525
40,1.1238365680489388,-1.0547904527670666,-3.258838793740954,0.5149984925969417,4.666722587851783
45,1.1070383183822072,-1.0541913161883028,-3.25823965716219,0.5144877692333782,4.6620945997742975
50,1.1037895331172896,-1.0379773880132968,-3.2420257289871843,0.48086856638700903,4.357450028303119
55,1.0950557894112136,-1.0542001327262647,-3.258248473700152,0.5145556604849686,4.662709797674024
60,1.0836865085844305,-1.0369129874566019,-3.2409613284304895,0.4779203505975487,4.330734409921292
65,1.08751386710076,-1.0567041349887618,-3.2607524759626494,0.5192642669548135,4.705377407465064
70,1.07454147927627,-1.0356478624458907,-3.2396962034197783,0.47666717070439474,4.319378549733461
75,1.0685533028651566,-1.047556334755943,-3.2516046757298307,0.5016911870759565,4.546136765960842
80,1.0707568237717402,-1.035031904991136,-3.239080245965024,0.47500965108749016,4.304358728107619
85,1.0534562303850878,-1.0238162496724474,-3.227864590646335,0.45098400000110217,4.086647318031753
90,1.0598795798705085,-1.030233457565172,-3.2342817985390595,0.4654755056981929,4.217963879947919
95,1.0508734012582774,-1.0149753533223937,-3.2190236942962813,0.43046029682383063,3.900669232669532
100,1.0489966595376907,-1.0176892347121531,-3.2217375756860407,0.43687366965657776,3.9587848119421674
105,1.0430665631166005,-1.0087916380828947,-3.212839979056782,0.4150897673707199,3.7613872838884723
110,1.0380172557527687,-1.0262373299236274,-3.2302856708975147,0.45726687754005596,4.143580381463463
115,1.0367533589342113,-1.0097591268178947,-3.2138074677917823,0.4186371772196647,3.793532579167154
120,1.0298575801196483,-1.0050637623073653,-3.209112103281253,0.40636674538095197,3.682342536036051
125,1.0327702259376172,-1.0072488574892235,-3.211297198463111,0.4118134189921542,3.7316982455797985
130,1.0376499567754693,-1.011933182696039,-3.2159815236699263,0.423704565656382,3.839451341631327
135,1.0273273753362064,-1.0044986413031551,-3.208546982277043,0.40529373485481435,3.672619316770517
140,1.0269612586877166,-1.0022230853656664,-3.206271426339554,0.39925182245152735,3.6178697888358773
145,1.0247032782267824,-1.0164235728982889,-3.2204719138721765,0.43492148796911523,3.9410948682449107
