epoch,training_nll
1,8.772210503635181
2,1.4014534516165535
3,1.3415015714710334
4,1.3031825361523552
5,1.289164775605828
6,1.277176193266465
7,1.2705595090705708
8,1.265922520374407
9,1.2633923843057724
10,1.2584747325388237
11,1.256143582621078
12,1.2538065252575799
13,1.251692727839806
14,1.2501477182035732
15,1.2461704934446907
16,1.2458467524112968
17,1.2447465977128633
18,1.2415058793418519
19,1.2424421249950321
20,1.2407317996604978
21,1.2363705560513218
22,1.235994159305485
23,1.2344530317997087
24,1.232295334297721
25,1.2293477608479917
26,1.2298827312156673
27,1.2275733372832107
28,1.2272858423354975
29,1.2266438111735352
30,1.2253895663320398
31,1.2227099018017396
32,1.221794360623416
33,1.22492982547593
34,1.2186665990602812
35,1.2175471181253164
36,1.2165283780697735
37,1.215422297286192
38,1.2132105758572884
39,1.2095196744151377
40,1.2081749763979193
41,1.2066934682827513
42,1.203604099649452
43,1.2014580778648158
44,1.200449154806104
45,1.198475900832939
46,1.1985548625313798
47,1.198020186417628
48,1.1939523481842211
49,1.1927035105071024
50,1.1936288579956702
