epoch,training_nll,validation_lpd_standardized,validation_lpd_original,validation_rmse_standardized,validation_rmse_original
5,0.9568455711487801,-0.9527499681891786,-3.787174157108293,0.2595576361009311,4.417825901432406
10,0.9511718846136524,-0.9482289660175698,-3.782653154936684,0.24151111921848578,4.110663410329506
15,0.9499782885274579,-0.9476195291567082,-3.7820437180758226,0.23903617250470852,4.068538340782936
20,0.9495280192744348,-0.9470512901392483,-3.7814754790583627,0.2366922036905835,4.028642590772338
25,0.9491822042772847,-0.9470428549398289,-3.7814670438589433,0.23670130819949597,4.02879755152546
30,0.9489674798903927,-0.9467831764827771,-3.7812073654018916,0.23562785201567368,4.010526690684423
35,0.9486731586917754,-0.9467577486379436,-3.781181937557058,0.2355446452802341,4.009110459843415
40,0.9486906020872055,-0.946523071900528,-3.7809472608196426,0.23456692436188434,3.9924690683992803
45,0.9483444483049455,-0.9461692285817035,-3.780593417500818,0.2330690098465183,3.966973669611512
50,0.948186933225201,-0.9459845456949891,-3.7804087346141033,0.23228077526597604,3.9535574453742486
55,0.9480685491715708,-0.9459490772700796,-3.7803732661891942,0.23213726086010555,3.951114742772872
60,0.9479588147132627,-0.9457681685193828,-3.780192357438497,0.23136052159215992,3.9378941794270963
65,0.94782211396002,-0.9456983626577239,-3.7801225515768384,0.23106163200403274,3.9328068982992845
70,0.9478090232418429,-0.9456083466494422,-3.7800325355685565,0.23067198789641757,3.9261749241683206
75,0.947679300846592,-0.945533663821376,-3.7799578527404902,0.2303494598018587,3.9206853020875525
80,0.9475389307545078,-0.9455329209544634,-3.779957109873578,0.2303524904439453,3.920736889588922
85,0.9474950959605556,-0.9453800419008948,-3.7798042308200093,0.22968838409570738,3.9094334002646147
90,0.9474207155166133,-0.9452780184373467,-3.7797022073564612,0.22924442729129382,3.9018769905183217
95,0.9473653335725107,-0.9452785272526281,-3.7797027161717427,0.229247706378549,3.9019328052444484
100,0.947275298641574,-0.9451384443253028,-3.779562633244417,0.22863420893972114,3.891490711843284
105,0.9471455674017629,-0.945115244543326,-3.7795394334624404,0.22852587814143502,3.889646856187125
110,0.9471446987121336,-0.9452395770971507,-3.779663766016265,0.22907532845140352,3.898998828775221
115,0.9471498050997335,-0.9449986370888684,-3.7794228260079827,0.2280227301227421,3.881082978139326
120,0.9470668569687875,-0.945006304645285,-3.7794304935643996,0.2280502746314558,3.8815518011216974
125,0.9469115722563959,-0.9449216800838726,-3.779345869002987,0.22767212681203353,3.8751155005886164
130,0.94690574753669,-0.9452024724076195,-3.7796266613267337,0.22891713303551064,3.896306246683021
135,0.9468377955498234,-0.9449436439898172,-3.7793678329089317,0.22778460215320054,3.8770298989042766
140,0.9468561241703649,-0.9449352636369898,-3.779359452556104,0.2277430682754157,3.8763229653541997
145,0.9467637900383242,-0.9447688424440028,-3.7791930313631172,0.22701255706656048,3.863889230877064
150,0.946836753429905,-0.9450979772316286,-3.779522166150743,0.22845311950460281,3.8884084635606873
155,0.9466615930680305,-0.9449445351772572,-3.7793687240963716,0.22777636203512797,3.8768896451454755
160,0.9466454075228783,-0.9449275671276006,-3.779351756046715,0.22770221727678414,3.8756276566863836
165,0.9466108114488663,-0.9446504301939653,-3.7790746191130795,0.22647625226018708,3.854761001650912
170,0.9465658849285495,-0.944639261658662,-3.7790634505777763,0.22642241169714195,3.8538446041072065
175,0.9465544296849159,-0.9446823940727473,-3.7791065829918615,0.2266138684769835,3.8571033113767075
180,0.946499252319336,-0.9446892089028014,-3.7791133978219156,0.22664135860717188,3.8575712090857226
185,0.9464349515976445,-0.9449677347284557,-3.7793919236475704,0.22786070528439947,3.878325221460474
190,0.9464410124286529,-0.9445987665961849,-3.779022955515299,0.22623797346525526,3.8507053542773684
195,0.9465540989752739,-0.9445584555118876,-3.778982644431002,0.2260542826600124,3.847578829327769
200,0.9463943823691338,-0.9445171979958433,-3.7789413869149575,0.22586728394595484,3.8443959977252993
