epoch,training_nll
1,1.9072278011725021
2,1.191218011976151
3,1.0726139500586238
4,1.0149695075369087
5,0.9816865281844794
6,0.9695752728002633
7,0.9655275015341045
8,0.9611842452013372
9,0.96222924142429
10,0.9675209914723629
11,0.9634726157926788
12,0.9607809600022699
13,0.9565692004005056
14,0.9564411935171412
15,0.9552746788637683
16,0.9543627316803387
17,0.9537709549436003
18,0.9557639997015813
19,0.9562036782373741
20,0.9569386292987553
21,0.9521363516447341
22,0.9512998754139746
23,0.9520837301455772
24,0.9520650663872704
25,0.9498827914598191
26,0.9512922283364447
27,0.9510240857577014
28,0.9501846725102271
29,0.9520788536057976
30,0.9495223049834565
31,0.9498213683126977
32,0.9513900199778346
33,0.9526584220001563
34,0.9492036525143901
35,0.9521763213464044
36,0.947539889605449
37,0.950644794835368
38,0.950901364365811
39,0.9484131976250456
40,0.9490020712446718
41,0.9501686349791487
42,0.9489381278820562
43,0.949242448323715
44,0.9470881580788907
45,0.9458678432035377
46,0.9477582407411722
47,0.9468304149148778
48,0.94825611135204
49,0.947882901914903
50,0.9499589861215627
51,0.9490137154562601
52,0.9470502550453594
53,0.9450105260491544
54,0.9459383294482308
55,0.9467296465778489
56,0.9439702032271411
57,0.9451415850181139
58,0.9480021215554775
59,0.9453702010915179
60,0.9444396712328004
61,0.9463992166277642
62,0.9435534242610683
63,0.9441924866305074
64,0.9434149193694726
65,0.9448990902058813
66,0.9438303207868087
67,0.9452495991579876
68,0.9429184979881805
69,0.9439328867516193
70,0.9437641004577559
71,0.9424782906875941
72,0.9438600822226528
73,0.9408475584128141
74,0.9427271487053845
75,0.9425644576118237
76,0.9418885807052535
77,0.942678419536171
78,0.9429545186880528
79,0.9403693951159586
80,0.9409446053843077
81,0.942368109905944
82,0.9412422312151333
83,0.9442383973884858
84,0.9395576109934474
85,0.9403252129789371
86,0.9398995586138559
87,0.9413584925331359
88,0.9418105015533877
89,0.941623005266645
90,0.9405068278140166
91,0.9401337356884815
92,0.9400737953255042
93,0.9391790982955789
94,0.9385292091003893
95,0.9385650469321764
96,0.9381141550461566
97,0.9381089489987894
98,0.939166716832328
99,0.9385747664571671
100,0.9384018809854036
101,0.9371856773641452
102,0.9384571380277101
103,0.93832611373468
104,0.9376856313773071
105,0.937724856064047
106,0.9360571674431112
107,0.9376958781144381
108,0.9367435552104337
109,0.935847690153743
110,0.9366046135918966
111,0.9377129087399816
112,0.937424417773825
113,0.9374274341483883
114,0.9367469561255272
115,0.9367909716973256
116,0.9348501030857069
117,0.9361365302944321
118,0.9358377057288042
119,0.9365218078175778
120,0.9366243656740865
121,0.9364703936790765
122,0.9364377476717042
123,0.9382685390981682
124,0.9376972078759488
125,0.934530825846102
126,0.9354849535373462
