epoch,training_nll
1,3.295227227940846
2,0.9613340554538053
3,0.9563829055121518
4,0.9547324410618396
5,0.9534988750869867
6,0.952746863253592
7,0.9520625414755297
8,0.9514480967331176
9,0.9510591552794956
10,0.9506986355922762
11,0.9503962919211196
12,0.9502021337812502
13,0.950031926651032
14,0.9498681706455219
15,0.9496865713725091
16,0.9495705793355486
17,0.949468448995201
18,0.9494022839493819
19,0.9492814917761528
20,0.9491638416211761
21,0.9491141550896157
22,0.9491522631403212
23,0.9490366652581961
24,0.9490166646085014
25,0.9488860294594885
26,0.9488804586990524
27,0.9487982538086711
28,0.948770784754438
29,0.9486938274262494
30,0.9486609996299602
31,0.9486334087499522
32,0.9485707665386827
33,0.9485135150002818
34,0.9484590781079727
35,0.9483606029769543
36,0.9483461432749906
37,0.9483471703216487
38,0.9483008361654599
39,0.9482176752542317
40,0.9482351938006687
41,0.9481542879122223
42,0.9481643709816898
43,0.9480909471547281
44,0.9480424004348088
45,0.9480875532132327
46,0.9480048119710334
47,0.9479567892749943
48,0.9479528202743096
49,0.9479495705302314
50,0.9479500668318259
51,0.9478966414533887
52,0.9478743247157425
53,0.9478534429403648
54,0.9478842658374164
55,0.9478221731226891
56,0.9478208224763163
57,0.9478281588383273
58,0.9477836164624112
59,0.9476996502066695
60,0.9477222673002262
61,0.947752259656979
62,0.9476759741840954
63,0.9476956173166721
64,0.9476009998195831
65,0.9476132699939629
66,0.9475917727976861
67,0.9475944612918035
68,0.9475608980070076
69,0.9475597205955023
70,0.9474974792810174
71,0.9475008008400054
72,0.9474699447177426
73,0.9474957295652466
74,0.9474037540746668
75,0.9473934691274308
76,0.9474628199380306
77,0.9473219904497019
78,0.9473508109117188
79,0.9474085146452461
80,0.9473358025438431
81,0.9473267591258483
82,0.9473317708721035
83,0.9473885856097257
84,0.9473013999902085
85,0.9473203634041801
86,0.9472847118041003
87,0.9472781237776777
88,0.9471700923698397
89,0.9472402023003778
90,0.9472259559942557
91,0.9471705466207762
92,0.947121602880347
93,0.9471035056891667
94,0.9471733206282813
95,0.9471350285929679
96,0.9470744381977033
97,0.9470302989681953
98,0.9471456183122988
99,0.9471072850431137
100,0.9471083806790676
101,0.9470605614528383
102,0.9471044358358803
103,0.9470303901437129
104,0.9470451287159506
105,0.9469838230649488
106,0.9469667352556892
107,0.9470192044956068
108,0.946971274878613
109,0.9469452357751791
110,0.9469292823853857
111,0.9469025839207106
112,0.9469854726482387
113,0.9468639958210765
114,0.9468747663409324
115,0.946886681497007
116,0.946943280063098
117,0.946879332405587
118,0.9468105923574348
119,0.9468314492692793
120,0.9467975321082949
121,0.9467976541694151
122,0.946779730413838
123,0.9467692773331888
124,0.946813142807721
