epoch,training_nll,validation_lpd_standardized,validation_lpd_original,validation_rmse_standardized,validation_rmse_original
5,1.2864121207859525,-1.2424035809962408,-1.0346721697868595,0.8040808809356715,0.6532555783863294
10,1.2347111278519207,-1.2440343662077602,-1.0363029549983789,0.8062119566711065,0.6549869187650555
15,1.2071723961001657,-1.2389701730689355,-1.0312387618595542,0.79997132605209,0.6499168729399399
20,1.1905130640420214,-1.2332015705866846,-1.0254701593773032,0.7926553345240404,0.6439731770200257
25,1.1810439443035936,-1.2382578914791476,-1.0305264802697662,0.7991505340598407,0.6492500407662221
30,1.17096648989497,-1.2326887719605726,-1.0249573607511913,0.7919711428802346,0.643417322682535
35,1.1634492179141542,-1.2330720858723134,-1.025340674662932,0.7925041811784638,0.643850376363159
40,1.1549715139690973,-1.2358462107709904,-1.0281147995616091,0.7959995421208651,0.6466900959458878
45,1.1465452996920436,-1.2391329251560612,-1.03140151394668,0.8001787352321114,0.6500853776166565
50,1.139886185009047,-1.2356235812818206,-1.0278921700724393,0.7956986024529675,0.6464456048664022
55,1.1345086935404185,-1.240451097288043,-1.0327196860786616,0.8017080188950709,0.6513278066309359
60,1.1291401602586724,-1.2414908804163787,-1.0337594692069974,0.8030206879718589,0.6523942521408983
65,1.1274048665315488,-1.236971644719559,-1.0292402335101776,0.7972299303707652,0.6476896945867242
70,1.1204408803041377,-1.2446665504596184,-1.036935139250237,0.8069098004756613,0.6555538651691913
75,1.1180206845625946,-1.2501348318299408,-1.0424034206205595,0.8136626585451766,0.6610400575131782
80,1.108421668122634,-1.2503062067118627,-1.0425747955024813,0.8138635666644508,0.6612032802865293
85,1.1088243953049413,-1.2458053280012757,-1.0380739167918944,0.8082547879431612,0.6566465669133659
90,1.1039955813912352,-1.2504116992465337,-1.0426802880371524,0.8139703094108619,0.6612900008017216
95,1.100589713995061,-1.262773993540437,-1.0550425823310556,0.8292847144524511,0.6737318096237156
100,1.0963122844696045,-1.2642404733790162,-1.056509062169635,0.8310055820651402,0.6751298859360647
105,1.0950948335949517,-1.2661421956275258,-1.0584107844181445,0.8333182742463349,0.6770087755997759
110,1.0907620058096514,-1.2670215829680032,-1.0592901717586218,0.8343826536526452,0.6778735038388012
115,1.086305627951751,-1.2620444841573555,-1.0543130729479742,0.8282229941410799,0.6728692413648681
120,1.082637999508832,-1.268822860499069,-1.0610914492896877,0.8365222438458961,0.6796117609446022
125,1.0791077135152338,-1.2784865443460942,-1.0707551331367129,0.8480441914178334,0.68897248212556
130,1.0769660270352162,-1.275761237971262,-1.0680298267618806,0.8447464940248406,0.6862933493629061
