dataset,preprocessing,feature_dimension,split,depth,optimizer,beta,status,logpdf_standardized,logpdf,rmse,paper_dvi,error
energy,multiscale_matern32_linear,1000,6,2,vector_transport,0.8,ok,1.3223609194252235,-0.9971520013573192,0.8267495810421516,-1.01,
energy,multiscale_matern32_linear,1000,7,2,vector_transport,0.8,ok,1.014337611468545,-1.2924054476260398,0.9420640392863748,-1.01,
energy,multiscale_matern32_linear,1000,8,2,vector_transport,0.8,ok,1.3158999621892007,-1.0004752270813873,0.6824431576451285,-1.01,
energy,multiscale_matern32_linear,1000,9,2,vector_transport,0.8,ok,1.2811302532082414,-1.031031301101608,0.7018884668260711,-1.01,
energy,multiscale_matern32_linear,1000,10,2,vector_transport,0.8,ok,1.3932852271561034,-0.9125367591277715,0.682798834072006,-1.01,
energy,multiscale_matern32_linear,1000,11,2,vector_transport,0.8,ok,1.5066216319343253,-0.8105630062954283,0.5912969217152103,-1.01,
energy,multiscale_matern32_linear,1000,12,2,vector_transport,0.8,ok,1.3048623772553911,-0.9950984634878559,0.7448767946620521,-1.01,
energy,multiscale_matern32_linear,1000,13,2,vector_transport,0.8,ok,1.4151740879593673,-0.9042220613611849,0.5605296683014022,-1.01,
energy,multiscale_matern32_linear,1000,14,2,vector_transport,0.8,ok,1.0826513615534057,-1.2343807848959387,0.9000933460645766,-1.01,
energy,multiscale_matern32_linear,1000,15,2,vector_transport,0.8,ok,1.522966723051041,-0.7854268726686806,0.5283426579327896,-1.01,
energy,multiscale_matern32_linear,1000,16,2,vector_transport,0.8,ok,1.378126455203225,-0.9353311722673043,0.6647113600639893,-1.01,
energy,multiscale_matern32_linear,1000,17,2,vector_transport,0.8,ok,1.4577647958824307,-0.8482569102474575,0.5780001151170443,-1.01,
energy,multiscale_matern32_linear,1000,18,2,vector_transport,0.8,ok,1.4757978139347174,-0.8388086544034534,0.6987959697914554,-1.01,
energy,multiscale_matern32_linear,1000,19,2,vector_transport,0.8,ok,1.391041165510804,-0.9114621122263518,0.6739698297749941,-1.01,
energy,multiscale_matern32_linear,1000,20,2,vector_transport,0.8,ok,1.4010284282518195,-0.9069737504138269,0.6340085171950943,-1.01,
concrete,multiscale_matern32_linear,1000,1,2,vector_transport,0.8,ok,-0.32641687156343246,-3.1488149158737397,8.285609322030995,-3.06,
