dataset,dataset_name,likelihood,n,lpd_standardized_mean,lpd_standardized_std,lpd_standardized_se,lpd_original_mean,lpd_original_std,lpd_original_se,rmse_original_mean,rmse_original_std,rmse_original_se
concrete,Concrete,heteroscedastic,20,-0.16800390785749666,0.09866478244182676,0.02206211605251523,-2.9845458637816646,0.09876413083394416,0.022084331028338212,6.198614499334901,0.8832776167824482,0.1975068794129563
energy,Energy,heteroscedastic,20,1.3325194876383164,0.14936551467083534,0.033399144429822995,-0.9783270224843779,0.14951913446175993,0.03343349485934266,0.7197856672505907,0.12194675640744557,0.02726812369626563
housing,Boston,heteroscedastic,20,-0.4548919636477967,0.17720085743498085,0.03962331628958662,-2.6719642586631847,0.17159658482192525,0.03837016283686335,3.820136451287626,0.9017833421203163,0.20164488539579764
power,Power,heteroscedastic,20,0.07658247171200272,0.051748081913049825,0.011571222886280676,-2.7610334430859678,0.05160038704528682,0.011538197309856085,3.954078771012457,0.16625494473162541,0.0371757358015385
wine,Wine,heteroscedastic,20,-1.1703352846923312,0.06801977983564673,0.015209685152707557,-0.9570639671335032,0.06681459991224063,0.014940198729322153,0.658225176937454,0.043075177901393764,0.009631902593041319
yacht,Yacht,heteroscedastic,20,2.441246096080069,0.33057029263106946,0.07391776456650691,-0.2781619086729557,0.3278182693051325,0.07330239344326091,0.9295006613953168,0.35330434022947926,0.07900125214988292
