dataset,horizon,architecture,estimator,posterior_samples,learning_rate,ess_multiplier,best_epoch,nll_std,log_predictive_density_std,mse_std,rmse_std,mae_std,crps_std,coverage95_std,interval_width_std,interval_score_std,epistemic_variance_std,aleatoric_variance_std,total_variance_std,nll_ot,log_predictive_density_ot,mse_ot,rmse_ot,mae_ot,crps_ot,coverage95_ot,interval_width_ot,interval_score_ot,epistemic_variance_ot,aleatoric_variance_ot,total_variance_ot,gate_entropy,max_top_expert_share,switching_rate,checkpoint
ETTh1,96,moe,posterior_mean_head,1,0.001,1,11,7.857431567118913e7,-7.857431567118913e7,0.14702412495983772,0.38343725035504533,0.30075371203553103,0.2927222171117496,0.05774811375507835,0.06006595578281575,10.991948652038927,0.0,0.0008572778828847988,0.0008572778828847988,7.85743178161193e7,-7.85743178161193e7,10.726333066066003,3.2751080999054065,2.5688712232630504,2.5002706528832315,0.05774811375507835,0.5130500443832826,93.88712241886468,0.0,0.06254380432127161,0.06254380432127161,0.026304865644244203,1.0,0.0,/home/nimrais/repos/NGMP/paper_materials/ivon/moe/checkpoints/ETTh1_h96_moe_ivon.jld2
ETTh1,96,moe_big,posterior_mean_head,1,0.001,1,8,2.506412099320478e15,-2.506412099320478e15,0.14711113482574223,0.3835506939450667,0.3008154238224448,0.29863427122602915,0.011317469529889728,0.015578517140170004,11.747174389217982,0.0,0.00011421124932494134,0.00011421124932494134,2.50641209932048e15,-2.50641209932048e15,10.732680982110262,3.2760770720650423,2.5693983310831534,2.550768136627513,0.011317469529889728,0.13306304388278026,100.33784134823802,0.0,0.008332427759631124,0.008332427759631124,0.0024784026506202033,1.0,0.0,/home/nimrais/repos/NGMP/paper_materials/ivon/moe/checkpoints/ETTh1_h96_moe_big_ivon.jld2
ETTh1,192,moe,posterior_mean_head,1,0.001,1,15,1.1188999541159746e15,-1.1188999541159746e15,0.13680377873881844,0.3698699484127069,0.2951615842014244,0.2936614624737154,0.008756567425569177,0.010635320169831125,11.609191709899012,0.0,5.070474968171626e-5,5.070474968171626e-5,1.1188999541159768e15,-1.1188999541159768e15,10.021169398986231,3.1656230664730494,2.5262131278699367,2.5133739665265167,0.008756567425569177,0.09102500755583644,99.36012703296836,0.0,0.0037142313653759566,0.0037142313653759566,0.0012700914015043453,1.0,0.0,/home/nimrais/repos/NGMP/paper_materials/ivon/moe/checkpoints/ETTh1_h192_moe_ivon.jld2
ETTh1,192,moe_big,posterior_mean_head,1,0.001,1,7,3.0423170881189315e18,-3.0423170881189315e18,0.13679785678147927,0.36986194286717206,0.2951559127903306,0.2940557280035078,0.005837711617046118,0.007754365669864275,11.661277642803661,0.0,3.205171372425515e-5,3.205171372425515e-5,3.0423170881189315e18,-3.0423170881189315e18,10.020735602944804,3.1655545490395203,2.5261645877010066,2.5167483851857844,0.005837711617046118,0.06636764877961565,99.80591732047165,0.0,0.0023478565849543494,0.0023478565849543494,0.0011980339557138805,1.0,0.0,/home/nimrais/repos/NGMP/paper_materials/ivon/moe/checkpoints/ETTh1_h192_moe_big_ivon.jld2
ETTh1,336,moe,posterior_mean_head,1,0.001,1,13,9.74638326409534e9,-9.74638326409534e9,0.13533187264304117,0.3678748056649723,0.2909968467410894,0.28600591563511085,0.039140670982931135,0.03830353087204785,10.993095467127178,0.0,0.00044085887751981395,0.00044085887751981395,9.746383266243963e9,-9.746383266243963e9,9.946508588273193,3.15380858459628,2.494730107117744,2.4519426122287937,0.039140670982931135,0.3283780313964444,94.24434161193037,0.0,0.03240187640817951,0.03240187640817951,0.013727296863293707,1.0,0.0,/home/nimrais/repos/NGMP/paper_materials/ivon/moe/checkpoints/ETTh1_h336_moe_ivon.jld2
ETTh1,336,moe_big,posterior_mean_head,1,0.001,1,5,2.6522112462999997e9,-2.6522112462999997e9,0.1356027186821629,0.36824274423559644,0.29107416258704777,0.2808797237159652,0.08298999411418481,0.08547312901218408,10.319626953621238,0.0,0.001924178467480349,0.001924178467480349,2.652211248448623e9,-2.652211248448623e9,9.966415003529338,3.1569629398409695,2.495392939622047,2.40799551981602,0.08298999411418481,0.7327652882987268,88.47066332072205,0.0,0.14142165683796715,0.14142165683796715,0.12289760578040665,1.0,0.0,/home/nimrais/repos/NGMP/paper_materials/ivon/moe/checkpoints/ETTh1_h336_moe_big_ivon.jld2
ETTh1,720,moe,posterior_mean_head,1,0.001,1,7,208009.62805033964,-208009.62805033964,0.2979157188031436,0.5458165614958413,0.4314657425753884,0.4144028146190128,0.0662451068955134,0.12490874553680006,15.036638177261988,0.0,0.0028388729848442167,0.0028388729848442167,208011.78582811082,-208011.78582811082,22.300539858863015,4.7223447416366175,3.7329940576798495,3.5853674853184523,0.0662451068955134,1.0806967015687163,130.095336487562,0.0,0.21250439690495396,0.21250439690495396,0.09706567213502357,1.0,0.0,/home/nimrais/repos/NGMP/paper_materials/ivon/moe/checkpoints/ETTh1_h720_moe_ivon.jld2
ETTh1,720,moe_big,posterior_mean_head,1,0.001,1,1,14388.7295834555,-14388.7295834555,0.2879911093809704,0.536648031190808,0.4240588669051025,0.39953433740896543,0.11743450767841011,0.18832786672765603,13.78084454082116,0.0,0.005599915925378857,0.005599915925378857,14390.887361226689,-14390.887361226689,21.557631264137044,4.643019627800107,3.6689105856106403,3.4567270589880654,0.11743450767841011,1.6293919493898763,119.23034833224703,0.0,0.419182810500549,0.419182810500549,0.14358902247503305,1.0,0.0,/home/nimrais/repos/NGMP/paper_materials/ivon/moe/checkpoints/ETTh1_h720_moe_big_ivon.jld2
ETTh2,96,moe,posterior_mean_head,1,0.001,1,13,2.8653329282223563e40,-2.8653329282223563e40,0.3387917254910293,0.5820581805034866,0.46481143488207016,0.46481140570228446,0.0,2.02737983424394e-7,18.592453543261122,0.0,8.493045967575269e-14,8.493045967575269e-14,2.8653329282223563e40,-2.8653329282223563e40,49.0183093257591,7.001307686836731,5.591001004666672,5.591000653676574,0.0,2.4386411003366785e-6,223.639993852486,0.0,1.2288220845804538e-11,1.2288220845804538e-11,2.370635466182464e-12,1.0,0.0,/home/nimrais/repos/NGMP/paper_materials/ivon/moe/checkpoints/ETTh2_h96_moe_ivon.jld2
ETTh2,96,moe_big,posterior_mean_head,1,0.001,1,5,3.5697294165384023e37,-3.5697294165384023e37,0.338791725490881,0.5820581805033591,0.46481143488196575,0.4648113774554995,0.0,3.989928521302192e-7,18.592449814414437,0.0,2.4622949475733404e-13,2.4622949475733404e-13,3.5697294165384023e37,-3.5697294165384023e37,49.01830932573764,7.001307686835198,5.591001004665416,5.591000313909109,0.0,4.799299822907449e-6,223.63994899992,0.0,3.5625880536624754e-11,3.5625880536624754e-11,2.731061146295976e-11,1.0,0.0,/home/nimrais/repos/NGMP/paper_materials/ivon/moe/checkpoints/ETTh2_h96_moe_big_ivon.jld2
ETTh2,192,moe,posterior_mean_head,1,0.001,1,5,8.574402332147539e8,-8.574402332147539e8,0.26989462742412423,0.5195138375675129,0.41448899913028986,0.4134416091715266,0.004670169293636894,0.007308411262188621,16.441468921514694,0.0,1.2557573260570241e-5,1.2557573260570241e-5,8.574402357041337e8,-8.574402357041337e8,39.214093073269154,6.262115702641492,4.996167344028903,4.983542315332323,0.004670169293636894,0.08809412496229381,198.182171989845,0.0,0.001824541123008593,0.001824541123008593,0.0020954986093076923,1.0,0.0,/home/nimrais/repos/NGMP/paper_materials/ivon/moe/checkpoints/ETTh2_h192_moe_ivon.jld2
ETTh2,192,moe_big,posterior_mean_head,1,0.001,1,4,9.02708361140077e20,-9.02708361140077e20,0.3197905062820684,0.5655002265977163,0.454525473387745,0.45451640533081256,0.0,6.300450147759537e-5,18.179821849981725,0.0,2.9793113428273272e-9,2.9793113428273272e-9,9.02708361140077e20,-9.02708361140077e20,46.46366916221169,6.81642642168253,5.4787589825883485,5.478649678047058,0.0,0.0007594436365492898,219.13592987443948,0.0,4.3287631697938166e-7,4.3287631697938166e-7,4.805577655311815e-8,1.0,0.0,/home/nimrais/repos/NGMP/paper_materials/ivon/moe/checkpoints/ETTh2_h192_moe_big_ivon.jld2
ETTh2,336,moe,posterior_mean_head,1,0.001,1,6,1.715833802197914e12,-1.715833802197914e12,0.34494069689234297,0.5873165218962795,0.4701964938797517,0.46963078234397654,0.002354326074161271,0.003936626143354949,18.73325356195709,0.0,3.906444842503514e-6,3.906444842503514e-6,1.7158338022004067e12,-1.7158338022004067e12,50.45072002035727,7.1028670282046855,5.686445125658725,5.679603544219881,0.002354326074161271,0.04760862498082836,226.5555353808375,0.0,0.0005713531537440582,0.0005713531537440582,0.006786067916286469,1.0,0.0,/home/nimrais/repos/NGMP/paper_materials/ivon/moe/checkpoints/ETTh2_h336_moe_ivon.jld2
