dataset,horizon,architecture,estimator,posterior_samples,learning_rate,ess_multiplier,best_epoch,nll_std,log_predictive_density_std,mse_std,rmse_std,mae_std,crps_std,coverage95_std,interval_width_std,interval_score_std,epistemic_variance_std,aleatoric_variance_std,total_variance_std,nll_ot,log_predictive_density_ot,mse_ot,rmse_ot,mae_ot,crps_ot,coverage95_ot,interval_width_ot,interval_score_ot,epistemic_variance_ot,aleatoric_variance_ot,total_variance_ot,gate_entropy,max_top_expert_share,switching_rate,checkpoint
ETTh1,96,moe,posterior_ensemble,10,0.001,1,11,129795.27395462735,-129795.27395462735,0.14693202270725125,0.3833171307250059,0.3006487248843055,0.292281895724274,0.054556006964596636,0.05546576202629779,11.05518817015638,6.88765791572344e-6,0.0010655422091897127,0.001072429867105436,129797.41888479865,-129797.41888479865,10.719613628438694,3.2740821047186177,2.5679744813084118,2.496509672067341,0.054556006964596636,0.47375774344184907,94.42727927068022,0.0005024978918892191,0.07773799459675594,0.07824049248864515,0.04046895275617549,1.0,0.0,/home/nimrais/repos/NGMP/paper_materials/ivon/moe/checkpoints/ETTh1_h96_moe_ivon.jld2
ETTh1,96,moe,posterior_ensemble,100,0.001,1,11,229.84897657959775,-229.84897657959775,0.14691140239629963,0.38329023258661266,0.30062481662928137,0.29044097146573533,0.08589669181659895,0.08727217372022382,10.542477430091843,4.578766824348649e-5,0.001361039469490517,0.001406827137734003,231.99390675089282,-231.99390675089282,10.718109247281838,3.2738523557548893,2.5677702702683742,2.480785519171738,0.08589669181659895,0.7454304525259223,90.04798879710464,0.003340497894698108,0.09929637513438719,0.10263687302908527,0.05829488903010023,0.9999825885084156,1.741654571843251e-5,/home/nimrais/repos/NGMP/paper_materials/ivon/moe/checkpoints/ETTh1_h96_moe_ivon.jld2
ETTh1,96,moe,posterior_ensemble,1000,0.001,1,11,10.277727596796973,-10.277727596796973,0.14681064865688875,0.38315877734548737,0.30052129840723046,0.29006762632754474,0.0943122460824144,0.09500124795098593,10.409558350719792,9.921693595969684e-5,0.0014193880451856726,0.0015186049811453696,12.422657768092058,-12.422657768092058,10.710758629368838,3.2727295380719807,2.5668860750911637,2.4775966122905833,0.0943122460824144,0.8114479132564588,88.91266782064686,0.007238498451794656,0.1035532700964063,0.11079176854820097,0.05977841435450498,0.998622460824144,0.0006357039187227867,/home/nimrais/repos/NGMP/paper_materials/ivon/moe/checkpoints/ETTh1_h96_moe_ivon.jld2
ETTh1,96,moe_big,posterior_ensemble,10,0.001,1,8,687062.3495918815,-687062.3495918815,0.14563392439220185,0.38162013101014713,0.2992488695303099,0.2934890139412088,0.0571677307022635,0.059594677582591175,10.902853699594715,0.0009332464356321383,0.0012754546222833324,0.0022087010579154706,687064.4945220528,-687064.4945220528,10.6249092057222,3.2595872753651194,2.556017694104451,2.5068202056583417,0.0571677307022635,0.5090246476607807,93.12612280252449,0.0680861872433775,0.09305242315165373,0.16113861039503122,0.02375782774775297,0.9967498549042368,0.001973875181422351,/home/nimrais/repos/NGMP/paper_materials/ivon/moe/checkpoints/ETTh1_h96_moe_big_ivon.jld2
ETTh1,96,moe_big,posterior_ensemble,100,0.001,1,8,189159.68898321353,-189159.68898321353,0.14679555174682712,0.38313907624624655,0.3004736193156034,0.2968744612058735,0.027278003482298318,0.030902937948152992,11.440979762414063,0.0001930401932662005,0.0003302097407963281,0.000523249934062529,189161.83391338482,-189161.83391338482,10.709657214987807,3.2725612622207407,2.566478826762945,2.535736816519804,0.027278003482298318,0.2639557379757803,97.72249685193657,0.014083494179452817,0.024090873946083904,0.03817436812553675,0.018886989110746783,0.9970458502611724,0.0012714078374455734,/home/nimrais/repos/NGMP/paper_materials/ivon/moe/checkpoints/ETTh1_h96_moe_big_ivon.jld2
ETTh1,96,moe_big,posterior_ensemble,1000,0.001,1,8,2216.890542886648,-2216.890542886648,0.14683474089604448,0.3831902150317052,0.30052571036004805,0.29714692848150553,0.0261172373766686,0.030335307086444503,11.45617487288322,0.0003173441670051661,0.0002439951891709503,0.0005613393561761164,2219.035473057943,-2219.035473057943,10.712516309488086,3.272998061332772,2.5669237595425205,2.5380640807085477,0.0261172373766686,0.2591073503159576,97.85228504891121,0.023152249556326436,0.01780098107219017,0.04095323062851661,0.016025423080747694,0.9973583865351132,0.0008235123367198838,/home/nimrais/repos/NGMP/paper_materials/ivon/moe/checkpoints/ETTh1_h96_moe_big_ivon.jld2
ETTh1,192,moe,posterior_ensemble,10,0.001,1,15,2.4310790372760663e9,-2.4310790372760663e9,0.1366142422652829,0.3696136391764824,0.2949347931605847,0.29212546966733266,0.017513134851138354,0.018768141797899613,11.442157420261672,1.0019628747679955e-5,0.00020338741177158755,0.0002134070405192675,2.43107903942302e9,-2.43107903942302e9,10.007285446904673,3.1634293807361455,2.5242720808796832,2.5002277937198625,0.017513134851138354,0.1606317648817853,97.93052291823263,0.0007339592365145828,0.014898562932794972,0.015632522169309555,0.011569402397327868,1.0,0.0,/home/nimrais/repos/NGMP/paper_materials/ivon/moe/checkpoints/ETTh1_h192_moe_ivon.jld2
ETTh1,192,moe,posterior_ensemble,100,0.001,1,15,8.6351476091485e7,-8.6351476091485e7,0.13654365610907745,0.3695181404330205,0.2948742336654506,0.29244197364696173,0.0198482194979568,0.020626777754070593,11.404536183322262,5.5511907904292624e-5,0.0001430952465446988,0.00019860715444899142,8.635147823843871e7,-8.635147823843871e7,10.002114859987563,3.162612031215268,2.52375376752248,2.5029366709964402,0.0198482194979568,0.1765393585651355,97.60853229435054,0.004066365987096738,0.010482032872438705,0.014548398859535442,0.009119097467400732,0.9995738470519556,0.00032116788321167884,/home/nimrais/repos/NGMP/paper_materials/ivon/moe/checkpoints/ETTh1_h192_moe_ivon.jld2
ETTh1,192,moe,posterior_ensemble,1000,0.001,1,15,35514.80073506843,-35514.80073506843,0.13655998515500523,0.36954023482566173,0.29489182361185695,0.29226485742753,0.023642732049036778,0.023584574405238045,11.348576029049985,3.967455380632985e-5,0.00015597132886263312,0.00019564588266896295,35516.947688792,-35516.947688792,10.003310997527581,3.162801131517374,2.523904315411869,2.501420778201998,0.023642732049036778,0.20185438982154008,97.12958352890489,0.00290624592527874,0.011425233442575422,0.014331479367854161,0.010728163162014113,0.9994856976065383,0.00026423357664233577,/home/nimrais/repos/NGMP/paper_materials/ivon/moe/checkpoints/ETTh1_h192_moe_ivon.jld2
ETTh1,192,moe_big,posterior_ensemble,10,0.001,1,7,8.233294737571039e12,-8.233294737571039e12,0.1366552376584544,0.36966909210597304,0.2950140588183769,0.2937528930955305,0.008464681844716871,0.008563502096961996,11.635641451495559,3.203521713005379e-6,5.666440925683827e-5,5.9867930969843636e-5,8.233294737573186e12,-8.233294737573186e12,10.01028844713856,3.163903988293349,2.524950495538033,2.5141564980261477,0.008464681844716871,0.07329284221189217,99.58650366199598,0.00023466481741449247,0.0041507891762286,0.0043854539936430915,0.004657278047124843,1.0,0.0,/home/nimrais/repos/NGMP/paper_materials/ivon/moe/checkpoints/ETTh1_h192_moe_big_ivon.jld2
