dataset,horizon,architecture,estimator,posterior_samples,learning_rate,ess_multiplier,best_epoch,nll_std,log_predictive_density_std,mse_std,rmse_std,mae_std,crps_std,coverage95_std,interval_width_std,interval_score_std,epistemic_variance_std,aleatoric_variance_std,total_variance_std,nll_ot,log_predictive_density_ot,mse_ot,rmse_ot,mae_ot,crps_ot,coverage95_ot,interval_width_ot,interval_score_ot,epistemic_variance_ot,aleatoric_variance_ot,total_variance_ot,gate_entropy,max_top_expert_share,switching_rate,checkpoint
ETTh1,96,moe,posterior_ensemble,1000,0.001,1,11,10.277727596796973,-10.277727596796973,0.14681064865688875,0.38315877734548737,0.30052129840723046,0.29006762632754474,0.0943122460824144,0.09500124795098593,10.409558350719792,9.921693595969684e-5,0.0014193880451856726,0.0015186049811453696,12.422657768092058,-12.422657768092058,10.710758629368838,3.2727295380719807,2.5668860750911637,2.4775966122905833,0.0943122460824144,0.8114479132564588,88.91266782064686,0.007238498451794656,0.1035532700964063,0.11079176854820097,0.05977841435450498,0.998622460824144,0.0006357039187227867,/home/nimrais/repos/NGMP/paper_materials/ivon/moe/checkpoints/ETTh1_h96_moe_ivon.jld2
ETTh1,96,moe_big,posterior_ensemble,1000,0.001,1,8,2216.890542886648,-2216.890542886648,0.14683474089604448,0.3831902150317052,0.30052571036004805,0.29714692848150553,0.0261172373766686,0.030335307086444503,11.45617487288322,0.0003173441670051661,0.0002439951891709503,0.0005613393561761164,2219.035473057943,-2219.035473057943,10.712516309488086,3.272998061332772,2.5669237595425205,2.5380640807085477,0.0261172373766686,0.2591073503159576,97.85228504891121,0.023152249556326436,0.01780098107219017,0.04095323062851661,0.016025423080747694,0.9973583865351132,0.0008235123367198838,/home/nimrais/repos/NGMP/paper_materials/ivon/moe/checkpoints/ETTh1_h96_moe_big_ivon.jld2
ETTh1,192,moe,posterior_ensemble,1000,0.001,1,15,35514.80073506843,-35514.80073506843,0.13655998515500523,0.36954023482566173,0.29489182361185695,0.29226485742753,0.023642732049036778,0.023584574405238045,11.348576029049985,3.967455380632985e-5,0.00015597132886263312,0.00019564588266896295,35516.947688792,-35516.947688792,10.003310997527581,3.162801131517374,2.523904315411869,2.501420778201998,0.023642732049036778,0.20185438982154008,97.12958352890489,0.00290624592527874,0.011425233442575422,0.014331479367854161,0.010728163162014113,0.9994856976065383,0.00026423357664233577,/home/nimrais/repos/NGMP/paper_materials/ivon/moe/checkpoints/ETTh1_h192_moe_ivon.jld2
ETTh1,192,moe_big,posterior_ensemble,1000,0.001,1,7,2.2344171885100704e8,-2.2344171885100704e8,0.1366999944722695,0.3697296234713544,0.2950536140147029,0.29371297003749974,0.009632224168126095,0.011844104992680606,11.573440223878903,8.772384562263207e-6,5.074326321615577e-5,5.9515647778418974e-5,2.2344172099796078e8,-2.2344172099796078e8,10.013566979479808,3.1644220608951343,2.5252890384297326,2.51381480669943,0.009632224168126095,0.1013706902316972,99.05413913291962,0.0006425959322317074,0.003717052564149339,0.004359648496381046,0.004021030376942725,0.9999894921190893,1.343065693430657e-5,/home/nimrais/repos/NGMP/paper_materials/ivon/moe/checkpoints/ETTh1_h192_moe_big_ivon.jld2
ETTh1,336,moe,posterior_ensemble,1000,0.001,1,13,429.0098227310357,-429.0098227310357,0.1348525621315816,0.3672227690810873,0.29053285077220237,0.28288338733688967,0.07416127133608005,0.07209085769690328,10.399767983043505,0.0001922120372957325,0.0008844756338855053,0.0010766876711812375,431.1584461286987,-431.1584461286987,9.91128062589025,3.148218643279124,2.490752247130163,2.4251730253994546,0.07416127133608005,0.6180384260466654,89.1577162601411,0.014127039273107985,0.06500644908509602,0.07913348835820398,0.0480378358917362,0.9957739846968805,0.001429496614659994,/home/nimrais/repos/NGMP/paper_materials/ivon/moe/checkpoints/ETTh1_h336_moe_ivon.jld2
ETTh1,336,moe_big,posterior_ensemble,1000,0.001,1,5,58.64754354647923,-58.64754354647923,0.1352193738992756,0.3677218703031893,0.29048797315710895,0.2772076880492067,0.13213655091230136,0.12945713040306545,9.58732992307938,0.0006566688172564603,0.0021378986694578334,0.0027945674867142934,60.79616694414226,-60.79616694414226,9.938240249860515,3.152497462308338,2.4903675091552913,2.3765149796147607,0.13213655091230136,1.1098422694763603,82.19264529439224,0.048263294543485644,0.15712948517832845,0.20539277972181408,0.15522585824525106,0.9560344320188346,0.012548425080953782,/home/nimrais/repos/NGMP/paper_materials/ivon/moe/checkpoints/ETTh1_h336_moe_big_ivon.jld2
ETTh1,720,moe,posterior_ensemble,1000,0.001,1,7,168.4529455081356,-168.4529455081356,0.2946294740073285,0.5427978205624342,0.4289913580182815,0.41023868784716727,0.08762420957542909,0.14708747981952794,14.425091389378611,0.00019609417173258782,0.003174651183197768,0.003370745354930355,170.6107232793244,-170.6107232793244,22.05454735685784,4.696226927742934,3.7115859551664014,3.5493399193709454,0.08762420957542909,1.2725846665091018,124.80430107062399,0.014678667880907935,0.23763914013435875,0.25231780801526665,0.12187792951867982,0.9999503161698283,2.9518072289156626e-5,/home/nimrais/repos/NGMP/paper_materials/ivon/moe/checkpoints/ETTh1_h720_moe_ivon.jld2
ETTh1,720,moe_big,posterior_ensemble,1000,0.001,1,1,94.24224543481832,-94.24224543481832,0.28451318389220775,0.5333977726727097,0.4213394576584518,0.39539639697957935,0.1415236374585968,0.21344752658079738,13.119059891547161,0.0003919552437044475,0.0059227766855787,0.006314731929283147,96.40002320600709,-96.40002320600709,21.29729046607544,4.614898749276677,3.6453825564847286,3.4209260543898092,0.1415236374585968,1.8467244782784968,113.50466047471815,0.02933988703327582,0.44335061635055517,0.4726905033838309,0.17046830490646836,0.999928334838904,4.759036144578313e-5,/home/nimrais/repos/NGMP/paper_materials/ivon/moe/checkpoints/ETTh1_h720_moe_big_ivon.jld2
ETTh2,96,moe,posterior_ensemble,1000,0.001,1,13,5.990406226502314e21,-5.990406226502314e21,0.3387858348296119,0.582053120281656,0.46480129816792015,0.46470054102456554,0.0,3.284509597349799e-5,18.591431189514783,2.290788978311424e-5,4.4857864236563325e-9,2.2912375569537896e-5,5.990406226502314e21,-5.990406226502314e21,49.017457031438525,7.001246819777069,5.59087907483719,5.589667113926921,0.0,0.0003950784141805635,223.62769643380403,0.003314443485187253,6.490290344765194e-7,0.0033150925142217294,0.0005972803367653225,0.9993418456181079,0.00011640058055152395,/home/nimrais/repos/NGMP/paper_materials/ivon/moe/checkpoints/ETTh2_h96_moe_ivon.jld2
ETTh2,96,moe_big,posterior_ensemble,1000,0.001,1,5,1.9494309063628488e18,-1.9494309063628488e18,0.3387877730836283,0.5820547852939861,0.46480865630588675,0.4647832505794894,0.0,1.1890843598560305e-5,18.59218368887284,3.2253521708156732e-6,2.4238339326247065e-8,3.2495905101419202e-6,1.9494309063628488e18,-1.9494309063628488e18,49.01773746902829,7.001266847437561,5.590967582463458,5.590661988772872,0.0,0.00014302943842754723,223.63674789930417,0.00046666225441133907,3.5069404747553364e-6,0.0004701691948860944,0.0003158735224241807,0.9998038305281486,4.818577648766328e-5,/home/nimrais/repos/NGMP/paper_materials/ivon/moe/checkpoints/ETTh2_h96_moe_big_ivon.jld2
