dataset,dataset_name,n,lpd_standardized_mean,lpd_standardized_std,lpd_standardized_se,nll_standardized_mean,nll_standardized_std,nll_standardized_se,lpd_original_mean,lpd_original_std,lpd_original_se,nll_original_mean,nll_original_std,nll_original_se,rmse_standardized_mean,rmse_standardized_std,rmse_standardized_se,rmse_original_mean,rmse_original_std,rmse_original_se,coverage_50_mean,coverage_50_std,coverage_50_se,coverage_80_mean,coverage_80_std,coverage_80_se,coverage_95_mean,coverage_95_std,coverage_95_se,mean_total_variance_standardized_mean,mean_total_variance_standardized_std,mean_total_variance_standardized_se,mean_epistemic_variance_standardized_mean,mean_epistemic_variance_standardized_std,mean_epistemic_variance_standardized_se,mean_aleatoric_variance_standardized_mean,mean_aleatoric_variance_standardized_std,mean_aleatoric_variance_standardized_se,mean_total_variance_original_mean,mean_total_variance_original_std,mean_total_variance_original_se,mean_epistemic_variance_original_mean,mean_epistemic_variance_original_std,mean_epistemic_variance_original_se,mean_aleatoric_variance_original_mean,mean_aleatoric_variance_original_std,mean_aleatoric_variance_original_se
yacht,Yacht,20,-0.9389664735183357,0.011541239936412498,0.0025806997042453696,0.9389664735183357,0.011541239936412498,0.0025806997042453696,-3.65837447827136,0.023046243089308267,0.0051532966173678035,3.65837447827136,0.023046243089308267,0.0051532966173678035,0.17560360966850036,0.05606610912627282,0.012536763124026736,2.659303722545939,0.834188966409777,0.186530323497255,0.9919354838709676,0.017745793684521966,0.0039680800993277575,1.0,0.0,0.0,1.0,0.0,0.0,1.0066519901262088,0.002925714298306754,0.0006542096053757,0.006651990126208598,0.002925714298306758,0.0006542096053757008,1.0,0.0,0.0,231.9323461485303,10.547256913878066,2.3584383435586,1.531452605130548,0.6753408917188085,0.15101081418685805,230.40089354339975,10.482343711712591,2.3439233102906813
concrete,Concrete,20,-0.9801025854867724,0.01778391721752792,0.003976604780462134,0.9801025854867724,0.01778391721752792,0.003976604780462134,-3.79664454141094,0.018811120220153132,0.004206294354518321,3.79664454141094,0.018811120220153132,0.004206294354518321,0.34062961688450544,0.05195566680276778,0.011617640278731791,5.695050396474597,0.8689444605228088,0.1943018882400883,0.9451456310679613,0.025643413821063502,0.005734041647905561,0.9936893203883497,0.007890560202788822,0.001764382899399033,0.9985436893203884,0.003556772315849739,0.0007953184678729368,1.004359489488322,0.001042622114486019,0.00023313739228353065,0.00435948948832202,0.001042622114486018,0.00023313739228353046,1.0,0.0,0.0,280.76251941436317,3.5399178370004547,0.7915496918297037,1.2182385283330608,0.2898495313335159,0.06481232553081967,279.5442808860301,3.547857480164358,0.7933250500128616
energy,Energy,20,-0.9584348587272556,0.09193175900439143,0.020556566242494762,0.9584348587272556,0.09193175900439143,0.020556566242494762,-3.26928136884995,0.09392380247012921,0.02100200070284716,3.26928136884995,0.09392380247012921,0.02100200070284716,0.22045079956427224,0.1724086584642522,0.03855174802356124,2.225168899784847,1.7549945122462758,0.39242870295217597,0.9597402597402599,0.1649159573649013,0.03687632912423764,0.9948051948051948,0.023231875090906913,0.0051948051948051965,1.0,0.0,0.0,1.0022257098615917,0.0012720852117335793,0.0002844469006608496,0.002225709861591927,0.0012720852117334728,0.0002844469006608258,1.0,0.0,0.0,101.89903738212834,1.209549642064331,0.2704635221816383,0.22623059954062744,0.12974751444417731,0.02901242622088163,101.67280678258771,1.2057171004516176,0.26960653982437593
housing,Boston Housing,20,-1.1113254468584146,0.19810497626491846,0.04429761936093401,1.1113254468584146,0.19810497626491846,0.04429761936093401,-3.3283977418738018,0.19514890796121373,0.04363662239361238,3.3283977418738018,0.19514890796121373,0.04363662239361238,0.550289027326924,0.2882688104428383,0.06445886559431876,5.044414717832717,2.620963224009419,0.586065193541207,0.85,0.16284702193366,0.036413701097706294,0.9539215686274509,0.07205083743647225,0.016111057034373863,0.9803921568627452,0.031165467225059862,0.006968810326577558,1.0044814352357458,0.0026795757562244524,0.000599171354177828,0.004481435235745889,0.0026795757562244143,0.0005991713541778196,1.0,0.0,0.0,84.68175015370328,2.0849558321214525,0.46621029707082073,0.37672265697093343,0.2239104094311496,0.050067889635786046,84.30502749673234,2.1105740371793544,0.4719387018679205
power,Power Plant,20,-0.9462728021288733,0.0026250089244894575,0.0005869698396702039,0.9462728021288733,0.0026250089244894575,0.0005869698396702039,-3.7838887169268425,0.00302210349496984,0.0006757628849792255,3.7838887169268425,0.00302210349496984,0.0006757628849792255,0.23252105301157644,0.011299351871596168,0.0025266118886578507,3.9702800763653494,0.1923897495942471,0.04301965582668991,0.9913793103448276,0.0035697933484961585,0.0007982300592864007,0.9988505747126437,0.0008905346146570602,0.0001991295934689767,0.9996342737722049,0.0006135245022073121,0.00013718824927972696,1.000507558105104,0.00010975140648434212,2.4541160552520017e-5,0.0005075581051039748,0.00010975140648429222,2.454116055250886e-5,1.0,0.0,0.0,291.7055856301695,1.0162104120616966,0.22723155608130258,0.14796603239736136,0.031907316355686104,0.007134692835090498,291.55761959777215,1.020081741102325,0.228097211571114
wine,Wine,20,-1.2562479472123713,0.037713749878859684,0.00843305084155547,1.2562479472123713,0.037713749878859684,0.00843305084155547,-1.0429766296535452,0.035553054639577045,0.007949904698185855,1.0429766296535452,0.035553054639577045,0.007949904698185855,0.8203474296555686,0.047100804327106845,0.010532060027032714,0.6627140713008289,0.0366783893963131,0.008201537199536356,0.6321874999999999,0.04278902304821942,0.009567916422662387,0.8928125,0.020305540305671832,0.004540456844334407,0.9740625000000002,0.010782501357584703,0.0024110406003043164,1.002004073230409,0.001444932349163057,0.0003230966955617057,0.0020040732304088963,0.001444932349163033,0.0003230966955617003,1.0,0.0,0.0,0.6540945898817603,0.005865914838625052,0.0013116584329390325,0.0013098075272982186,0.0009454709488891471,0.0002114137312467362,0.6527847823544621,0.005588086469539796,0.001249534121003779
