method,dataset,dataset_name,split,split_protocol,likelihood,status,error,n_observations,n_features,n_train,n_test,outer_split_seed,inner_split_seed,model_seed,batch_seed,validation_seed,test_seed,learning_rate,ess_multiplier,best_epoch,stopped_early,selection_seconds,refit_seconds,evaluation_seconds,total_seconds,y_center,y_scale,checkpoint,lpd_standardized,nll_standardized,lpd_original,nll_original,rmse_standardized,rmse_original,coverage_50,coverage_80,coverage_95,mean_total_variance_standardized,mean_epistemic_variance_standardized,mean_aleatoric_variance_standardized,mean_total_variance_original,mean_epistemic_variance_original,mean_aleatoric_variance_original
IVON,yacht,Yacht,1,repeated-holdout-v1,homoscedastic,success,,308,6,277,31,20260726,21260726,20270828,20270838,20270848,20270858,0.1,100,430,false,134.19430804252625,0.30008506774902344,0.007853984832763672,134.50224709510803,10.589819494584832,15.449742140685602,checkpoints/yacht_split01_homoscedastic.jld2,-0.931980556245558,0.931980556245558,-3.669572869526772,3.669572869526772,0.14015388232860743,2.165341243613611,1.0,1.0,1.0,1.0069008365233705,0.006900836523370466,1.0,240.34172415950553,1.647191945828967,238.6945322136764
IVON,yacht,Yacht,2,repeated-holdout-v1,homoscedastic,success,,308,6,277,31,20260727,21260727,20270928,20270938,20270948,20270958,0.1,100,465,false,0.38600993156433105,0.3155679702758789,0.0008230209350585938,0.7024009227752686,10.714296028880865,15.456234775448664,checkpoints/yacht_split02_homoscedastic.jld2,-0.9432681126974664,0.9432681126974664,-3.6812805799751835,3.6812805799751835,0.20055704112682052,3.0998568374522746,1.0,1.0,1.0,1.0089850651793022,0.008985065179302584,1.0,241.0416823178133,2.1464888840246896,238.89519343378848
IVON,yacht,Yacht,3,repeated-holdout-v1,homoscedastic,success,,308,6,277,31,20260728,21260728,20271028,20271038,20271048,20271058,0.1,100,495,false,0.4242260456085205,0.31804800033569336,0.0008149147033691406,0.743088960647583,10.521335740072201,15.524934293050547,checkpoints/yacht_split03_homoscedastic.jld2,-0.9339497314012563,0.9339497314012563,-3.6763971268801545,3.6763971268801545,0.14202012232370056,2.2048529132125094,1.0,1.0,1.0,1.0104626006186066,0.010462600618606783,1.0,243.54531831100118,2.5217335074643095,241.02358480353703
IVON,yacht,Yacht,4,repeated-holdout-v1,homoscedastic,success,,308,6,277,31,20260729,21260729,20271128,20271138,20271148,20271158,0.1,100,490,false,0.45310091972351074,0.375485897064209,0.0008130073547363281,0.829399824142456,10.780685920577616,15.473363364284141,checkpoints/yacht_split04_homoscedastic.jld2,-0.9390499264081996,0.9390499264081996,-3.6781699794042395,3.6781699794042395,0.1933453450189637,2.991702874552623,1.0,1.0,1.0,1.0031256584639583,0.0031256584639583846,1.0,240.1733344990215,0.7483606958508948,239.42497380317053
IVON,yacht,Yacht,5,repeated-holdout-v1,homoscedastic,success,,308,6,277,31,20260730,21260730,20271228,20271238,20271248,20271258,0.1,100,500,false,0.6972329616546631,0.7134299278259277,0.001093149185180664,1.4117560386657715,10.068231046931407,14.882286965978318,checkpoints/yacht_split05_homoscedastic.jld2,-0.9364479240882678,0.9364479240882678,-3.6366196356336644,3.6366196356336644,0.16620570332044624,2.473520880891149,1.0,1.0,1.0,1.0078535247056446,0.007853524705644583,1.0,223.22188335112503,1.7394180133969184,221.48246533772814
IVON,yacht,Yacht,6,repeated-holdout-v1,homoscedastic,success,,308,6,277,31,20260731,21260731,20271328,20271338,20271348,20271358,0.1,100,480,false,0.6374630928039551,0.4183158874511719,0.0008058547973632812,1.0565848350524902,10.20361010830325,14.922195994447645,checkpoints/yacht_split06_homoscedastic.jld2,-0.946629341724331,0.946629341724331,-3.6494791102838064,3.6494791102838064,0.21770744117244534,3.248673125467841,0.967741935483871,1.0,1.0,1.0090252563114754,0.009025256311475303,1.0,224.68160456808383,2.009671271374533,222.67193329670943
IVON,yacht,Yacht,7,repeated-holdout-v1,homoscedastic,success,,308,6,277,31,20260732,21260732,20271428,20271438,20271448,20271458,0.1,100,500,false,0.48075103759765625,0.44260716438293457,0.001043081283569336,0.9244012832641602,10.08610108303249,14.563825568103695,checkpoints/yacht_split07_homoscedastic.jld2,-0.9580132738874965,0.9580132738874965,-3.6365540272066648,3.6365540272066648,0.27237407562015964,3.966808590488831,0.9354838709677419,1.0,1.0,1.0047334097451615,0.004733409745161426,1.0,213.10899512399277,1.0039799458418717,212.10501517815095
IVON,yacht,Yacht,8,repeated-holdout-v1,homoscedastic,success,,308,6,277,31,20260733,21260733,20271528,20271538,20271548,20271558,0.1,100,310,true,0.5018670558929443,0.2803950309753418,0.0008099079132080078,0.7830719947814941,10.968592057761732,15.479228268654907,checkpoints/yacht_split08_homoscedastic.jld2,-0.9262828850579966,0.9262828850579966,-3.665781898530788,3.665781898530788,0.09700548530873554,1.5015700176070592,1.0,1.0,1.0,1.0053795554717315,0.0053795554717316054,1.0,240.89548429318614,1.288976500061008,239.60650779312522
IVON,yacht,Yacht,9,repeated-holdout-v1,homoscedastic,success,,308,6,277,31,20260734,21260734,20271628,20271638,20271648,20271658,0.1,100,435,false,0.4740471839904785,0.33054113388061523,0.0007989406585693359,0.8053872585296631,10.647978339350177,15.096160019930739,checkpoints/yacht_split09_homoscedastic.jld2,-0.9316157479349199,0.9316157479349199,-3.646056156099382,3.646056156099382,0.14407391076452272,2.174962698242897,1.0,1.0,1.0,1.0049405768930613,0.004940576893061538,1.0,229.01997541174583,1.1259280643906153,227.8940473473551
IVON,yacht,Yacht,10,repeated-holdout-v1,homoscedastic,success,,308,6,277,31,20260735,21260735,20271728,20271738,20271748,20271758,0.1,100,500,false,0.5875840187072754,0.5242979526519775,0.0010728836059570312,1.11295485496521,10.465740072202165,15.270560240152772,checkpoints/yacht_split10_homoscedastic.jld2,-0.9479831026188273,0.9479831026188273,-3.673909910118898,3.673909910118898,0.22800682125727795,3.4817919325927136,1.0,1.0,1.0,1.0064521967304774,0.006452196730477312,1.0,234.69459786854722,1.5045878204125465,233.19001004813455
