learning_rate,ess_multiplier,mean_validation_lpd_standardized,mean_validation_rmse_standardized,n_datasets
0.1,100,-0.9927731183667344,0.30988072947147627,6
0.01,100,-1.0129057532902828,0.3777640083614469,6
0.001,100,-1.0527685457531322,0.473258106904428,6
0.01,1,-1.0832757295013604,0.4204523243783876,6
0.1,1,-1.1624289253798514,0.6101224056501021,6
0.001,1,-1.1950658101657246,0.5441760432711127,6
