learning_rate,ess_multiplier,mean_nll,mean_mse
0.001,1,12.803035642704465,0.14043475258386262
0.001,100,613.3487835663043,0.14536523158470072
0.01,1,783.9535881718483,0.16998454299767918
0.01,100,102897.27099456378,0.14358517003610666
0.1,1,1.0821782060007069e6,0.14600845091009967
0.1,100,5.115982357981181e8,0.14602884177278427
