dataset,preprocessing,feature_dimension,split,depth,optimizer,beta,status,logpdf_standardized,logpdf,rmse,paper_dvi,error
yacht,multiscale_matern32_linear,1000,10,1,damped,0.0,ok,1.256088252715019,-1.4698385547850517,1.4433874352382536,-0.47,
yacht,multiscale_matern32_linear,1000,10,2,vector_transport,0.8,ok,1.7628998439252137,-0.963026963574857,1.6048412251802708,-0.47,
yacht,multiscale_matern32_linear,1000,10,3,vector_transport,0.8,ok,1.767729544929369,-0.9581972625707016,1.5902395105834337,-0.47,
yacht,multiscale_matern32_linear,1000,10,4,vector_transport,0.8,ok,1.7677049936470537,-0.958221813853017,1.5903162132948374,-0.47,
yacht,multiscale_matern32_linear,1000,10,5,vector_transport,0.8,ok,1.7677050486837023,-0.9582217588163684,1.5903160440945314,-0.47,
yacht,multiscale_matern32_linear,1000,11,1,damped,0.0,ok,1.6359503845748824,-1.0986354189812797,0.6981197962538692,-0.47,
yacht,multiscale_matern32_linear,1000,11,2,vector_transport,0.8,ok,2.3737592900711255,-0.3608265134850366,0.47853394402582317,-0.47,
yacht,multiscale_matern32_linear,1000,11,3,vector_transport,0.8,ok,2.3751860287180158,-0.35939977483814634,0.4784203598851962,-0.47,
yacht,multiscale_matern32_linear,1000,11,4,vector_transport,0.8,ok,2.3751792908859484,-0.35940651267021373,0.47842100020153455,-0.47,
yacht,multiscale_matern32_linear,1000,11,5,vector_transport,0.8,ok,2.3751793100612435,-0.3594064934949186,0.47842099795165366,-0.47,
yacht,multiscale_matern32_linear,1000,12,1,damped,0.0,ok,1.5344609578268267,-1.1687039413006899,1.0244510120315884,-0.47,
yacht,multiscale_matern32_linear,1000,12,2,vector_transport,0.8,ok,2.608127656850957,-0.09503724227655974,0.9525270073044758,-0.47,
yacht,multiscale_matern32_linear,1000,12,3,vector_transport,0.8,ok,2.608437017490563,-0.09472788163695345,0.9499700197704318,-0.47,
yacht,multiscale_matern32_linear,1000,12,4,vector_transport,0.8,ok,2.6084355627037623,-0.09472933642375425,0.9499869212623592,-0.47,
yacht,multiscale_matern32_linear,1000,12,5,vector_transport,0.8,ok,2.6084355688402017,-0.0947293302873149,0.9499868740050744,-0.47,
yacht,multiscale_matern32_linear,1000,13,1,damped,0.0,ok,1.3091298880435425,-1.3973345455875952,1.2698342928578203,-0.47,
yacht,multiscale_matern32_linear,1000,13,2,vector_transport,0.8,ok,2.0101782499494356,-0.696286183681702,1.1730381826889462,-0.47,
yacht,multiscale_matern32_linear,1000,13,3,vector_transport,0.8,ok,2.017062199363252,-0.6894022342678858,1.1752663773578829,-0.47,
yacht,multiscale_matern32_linear,1000,13,4,vector_transport,0.8,ok,2.017011967188476,-0.6894524664426616,1.175248946723263,-0.47,
yacht,multiscale_matern32_linear,1000,13,5,vector_transport,0.8,ok,2.0170121737763873,-0.6894522598547503,1.1752490298027243,-0.47,
yacht,multiscale_matern32_linear,1000,14,1,damped,0.0,ok,1.340903842784312,-1.3788794327918663,1.401919634718607,-0.47,
yacht,multiscale_matern32_linear,1000,14,2,vector_transport,0.8,ok,2.673932415268056,-0.04585086030812224,1.0280435991973862,-0.47,
